English,Spanish
unfinished,inacabado
unnoticed,inadvertido
unattainable,inalcanzable
inexhaustible,inagotable
wireless,inalámbrico
unappealable,inapelable
inappropriate,inapropiado
unsuspecting,incauto
uncertain,incierto
incredible,increíble
unpublished,inédito
inconvenient,inconveniente
countless,incontable
unmistakable,inconfundible
incapable,incapaz
improper,indebido
tan,habano
skilled,habilidoso
land-owning,hacendado
hungry,hambriento
lazy,haragán
full,harto
made,hecho
freezing,helado
heroic,heroico
generous,hidalgo
swollen,hinchado
honorable,honorable
deep,hondo
wiry,hirsuto
skillful,hábil
shy,huraño
fugitive,huido
bony,huesudo
hypothetical,hipotético
sullen,hosco
hostile,hostil
orphaned,huérfano
dreadful,horroroso
honest,honesto
homonymous,homónimo
equivalent,homólogo
approved,homologado
heterogeneous,heterogéneo
Honduran,hondureño
moisturizing,hidratante
boiling,hirviente
hypocritical,hipócrita
hurtful,hiriente
Spanish-speaking,hispanohablante
Spanish-speaking,hispanoparlante
inhabited,habitado
fake,hechizo
macabre,macabro
ugly,macaco
sexist,machista
tough,macho
solid,macizo
great,magno
magnanimous,magnánimo
wonderful,magnífico
lean,magro
nice,majo
majestic,majestuoso
wretched,maldito
sick,malito
awful,malísimo
marvelous,maravilloso
withered,marchito
one-armed,manco
manic,maníaco
meek,manso
disgusting,marrano
massive,masivo
morning,matutino
crafty,mañoso
mean,mendigo
stingy,mezquino
scathing,mordaz
modern,moderno
cute,mono
mounted,montado
fatal,mortal
suspicious,mosca
blurred,movido
inconsiderate,la mula
purple,morado
mobile,móvil
multinational,multinacional
worldwide,mundial
muscular,musculoso
mutual,mutuo
morbid,mórbido
mythical,mítico
musical,musical
maximum,máximo
minimum,mínimo
drooping,gacho
jinxed,gafe
stammering,gago
smart,galano
gallant,galante
gallant,gallardo
Galician,gallego
French,galo
rowdy,gamberro
winning,ganador
jerky,gandalla
nasal,gangoso
lazy,ganso
graceful,garboso
enormous,garrafal
gaseous,gaseoso
catlike,gatuno
sweet-toothed,goloso
high-scoring,goleador
loudmouthed,gritón
tangled,greñudo
gregarious,gregario
free,gratuito
greasy,grasoso
big,grande
magnificent,grandioso
huge,grandote
giant,gigante
gigantic,gigantesco
fat,gordo
joyful,gozoso
fair-haired,güero
icy,gélido
tasty,gustoso
handsome,guapo
mocking,guasón
good-looking,guapetón
very handsome,guapísimo
dirty,guarro
scruffy,fachoso
ugly,feo
feasible,factible
eloquent,facundo
false,falaz
false,falso
missing,faltante
famous,famoso
imaginative,fantasioso
phantasmagoric,fantasmagórico
fanatical,fanático
fantastic,fantástico
fascinating,fascinante
fatalistic,fatalista
tired,fatigado
favorable,favorable
happy,fausto
feverish,febril
prolific,fecundo
happy,feliz
feline,felino
thin,flaco
flabbergasted,flipado
skinny,flacucho
festive,festivo
sharp,filoso
reliable,fidedigno
trusting,fiado
well-built,fornido
fortuitous,fortuito
flagrant,flagrante
annoying,fregado
futile,fútil
gloomy,fúnebre
frugal,frugal
sensitive to the cold,friolento
furious,furibundo
fleeting,fugaz
strong,fuerte
drunk,ebrio
equestrian,ecuestre
economic,económico
polite,educado
effective,eficaz
ephemeral,efímero
selfish,egoísta
eligible,elegible
in love,enamorado
emaciated,escuálido
paved,empedrado
related by marriage,emparentado
pregnant,encinta
weak,endeble
hunched,encorvado
curly,encrespado
well-connected,enchufado
praiseworthy,encomiable
deceitful,engañoso
endemic,endémico
lean,enjuto
angry,enojado
annoying,enojoso
rolled up,enrollado
half-open,entreabierto
scarlet,escarlata
scarce,escaso
steep,escarpado
erudite,erudito
spiky,erizado
chilling,escalofriante
stable,estable
strident,estridente
foaming,espumoso
eternal,eterno
astonished,estupefacto
great,estupendo
exact,exacto
exempt,exento
excessive,excesivo
eolian,eólico
given,dado
color-blind,daltónico
harmful,dañoso
harmful,dañino
defective,defectuoso
final,definitivo
deformed,deforme
careless,dejado
incriminating,delator
thin,delgado
crazy,demente
derived,derivado
refined,depurado
sports,deportivo
deplorable,deplorable
depraved,depravado
melted,derretido
barefoot,descalzo
faded,descolorido
discouraged,desanimado
loose,desatado
developed,desarrollado
unpleasant,desagradable
deranged,desquiciado
crazy,disparatado
unprotected,desprotegido
contemptuous,despectivo
helpless,desvalido
out of place,desplazado
arrested,detenido
determined,determinado
didactic,didáctico
diverse,diverso
tiny,diminuto
sore,dolorido
painful,doloroso
dubious,dudoso
lasting,duradero
docile,dócil
unruly,díscolo
tough,duro
worthy,digno
diffuse,difuso
clear,diáfano
difficult,difícil
learned,docto
deceased,difunto
gentlemanly,caballeroso
hairy,cabelludo
pigheaded,cabezón
downcast,cabizbajo
furious,cabreado
bad-tempered,cabrero
pitted,cacarizo
brutish,cafre
naked,calato
changeable,cambiante
country,campero
rotten,canalla
tiny,canijo
singing,cantante
capturing,captor
affectionate,cariñoso
crimson,carmesí
covered in dandruff,casposo
Castilian,castellano
chestnut-colored,castañuelo
annoying,catete
well-dressed,catrín
cautious,cauteloso
chaotic,caótico
sky-blue,celeste
well-aimed,certero
crappy,chafa
crooked,chueco
toothless,chimuelo
tiny,chiquito
from Mexico City,chilango
mean,chucho
senile,choto
clandestine,clandestino
complex,complejo
filthy,cochino
crunchy,crocante
awesome,bacano
dancing,bailador
bearded,barbudo
blessed,beato
benign,benigno
beneficial,bienhechor
bilingual,bilingüe
embroidered,bordado
bohemian,bohemio
Puerto Rican,boricua
silly,bobo
brief,breve
bright,brillante
misty,brumoso
spirited,brioso
stupid,bruto
harsh,bronco
mocking,burlón
crude,burdo
bewitching,brujo
brusque,brusco
warlike,bélico
cruel,bárbaro
alert,buzo
drunk,borracho
boring,aburrido
deserted,abandonado
packed,abarrotado
folding,abatible
vast,abismal
self-sacrificing,abnegado
embarrassed,abochornado
stunned,abombado
fertilized,abonado
loathed,aborrecido
vaulted,abovedado
sheltered,abrigado
steep,abrupto
absent,ausente
bitter,amargo
happy,alegre
friendly,amigable
burning,abrasador
dejected,abatido
old-fashioned,anticuado
mature,añejo
scatterbrained,atolondrado
narrow,angosto
nice,agradable
wealthy,acaudalado
bulky,abultado
watery,acuoso
obliging,acomedido
worthy of,acreedor
advisable,aconsejable
armoured,acorazado
remote,remoto
vain,vanidoso
goofy,tarumba
shut in,encerrado
paid,pagado
unfriendly,antipático
extraordinary,extraordinario
balanced,balanceado
definite,definido
outgoing,extrovertido
furry,peludo
shocked,impresionado
loyal,leal
well-dressed,puesto
dusty,polvoriento
noisy,bullicioso
regular,regular
contemporary,contemporáneo
arduous,arduo
bad,mal
married,casado
common,corriente
nursing,lactante
easy,fácil
charming,encantador
hollow,hueco
tired,cansado
abstract,abstracto
static,estático
spontaneous,espontáneo
supernatural,sobrenatural
Hispanic,hispano
responsible,encargado
sharp,punzante
friendly,amistoso
adopted,adoptado
written,escrito
pirated,pirata
sensible,sensato
abject,abyecto
underlined,subrayado
overwhelmed,agobiado
electrical,electricista
junior,júnior
brutal,brutal
foolish,insensato
current,actual
lonely,solitario
blurred,borroso
shallow,vacío
tireless,infatigable
impersonal,impersonal
amphibious,anfibio
sea,marítimo
faithful,fiel
following,siguiente
shrewd,astuto
old,antiguo
editorial,editorial
elegant,elegante
liberal,liberal
next,siguiente
excellent,excelente
retired,jubilado
dry,seco
cardinal,cardinal
state,estatal
pleasant,grato
intermediate,intermedio
master,maestro
huge,enorme
persistent,perseverante
dressed,vestido
helpful,gaucho
round,redondo
done,hecho
progressive,progresivo
basic,básico
anarchist,anarquista
delighted,encantado
tempting,tentador
loose-fitting,holgado
large,gran
scratched,rayado
shady,umbroso
excited,entusiasmado
absurd,absurdo
bare,descubierto
negative,negativo
curled up,acurrucado
chubby,gordito
dirty,sucio
sarcastic,socarrón
chance,casual
evil,malvado
desolate,desolado
essential,imprescindible
clumsy,torpe
Internet,por Internet
coarse,basto
abandoned,moto
selfless,desinteresado
lying down,echado
summer,veraniego
wise,sabio
rude,borde
postal,postal
wide,amplio
coming,venidero
total,absoluto
working,activo
wrong,equivocado
delicate,delicado
pregnant,embarazada
arrogant,soberbio
average,el promedio
corny,cursi
close,cercano
opulent,opulento
welcome,bienvenido
stuffed,relleno
stopped,parado
tenth,décimo
interesting,interesante
sunny,soleado
relentless,implacable
old,viejo
cheap,barato
indirect,indirecto
contact,de contacto
spectacular,espectacular
high,elevado
timely,oportuno
magic,mágico
delicious,delicioso
deserted,desierto
probable,probable
broke,pelado
generous,generoso
keen,agudo
every,cada
smaller,más pequeño
sexy,sexy
fundamental,primordial
resident,residente
ring-shaped,anular
abiding,perdurable
hot,acalorado
only,único
wearing,desgastante
deceitful,farsante
noisy,ruidoso
undefined,indefinido
crazy,loco
aged,envejecido
realistic,realista
confident,confiado
short,corto
undisputed,indiscutido
quarrelsome,pendenciero
national,nacional
questioning,interrogante
petty,mezquino
opposite,opuesto
planned,planeado
appropriate,adecuado
pretty,bonito
rude,maleducado
sleeping,durmiente
low,bajo
renewable,renovable
liquid,líquido
overwhelmed,abrumado
enemy,enemigo
taboo,tabú
perplexed,perplejo
single,soltero
grateful,agradecido
surrounding,circundante
rude,grosero
authentic,auténtico
agreeable,agradable
overwhelming,avasallador
phantom,fantasma
talkative,hablador
playful,juguetón
individual,individual
demanding,exigente
distinctive,distintivo
narrow,estrecho
sheer,puro
astute,astuto
nocturnal,nocturno
intense,intenso
brave,valiente
external,externo
noble,noble
unequal,desigual
restrained,contenido
farming,agropecuario
face-to-face,cara a cara
introverted,introvertido
indigenous,autóctono
sleepy,soñoliento
effective,efectivo
deaf,sordo
stiff,tieso
sensible,avisado
slimy,baboso
collective,colectivo
ideal,ideal
slow,lento
spotted,pinto
level,parejo
vital,vital
accurate,preciso
shy,tímido
tiring,cansador
shortish,bajito
black,negro
alien,ajeno
fair,justo
charity,benéfico
seated,sentado
loving,amante
miserly,avaro
fierce,feroz
unbearable,insoportable
humble,humilde
commercial,comercial
closed,cerrado
determined,resuelto
whole,entero
out,fuera
complete,completo
double,doble
bulging,saltado
fascinating,apasionante
high,alto
unfair,injusto
mineral,mineral
used,usado
inside,dentro
critical,crítico
barefooted,descalzo
lazy,perezoso
intelligent,inteligente
notable,notable
cozy,acogedor
heavy,pesado
off,apagado
flexible,flexible
romantic,enamorado
student,estudiantil
depressed,deprimido
complete,total
rapid,acelerado
material,material
precious,precioso
nosy,entrometido
learned,letrado
reflective,reflexivo
automotive,automotriz
strange,extraño
blonde,rubio
academic,académico
safe,salvo
minor,menor
organized,organizado
hard,duro
public,público
numbered,contado
living,viviente
smooth,liso
unbeaten,invicto
